archetype,tariff,scenario,year,annual_bill_eur,baseline_bill_eur,c_star,c_star_avg,worst_month_eur_2023,worst_month_eur_2024,worst_month_eur_2025,loss_month_prob_2023,loss_month_prob_2024,loss_month_prob_2025,worst_month_eur_pooled,loss_month_prob_pooled
C,T3_AWA,automated,2024,2192.07919251758,2288.82,96.74080748242022,166.44231692181893,-20.493924645219636,10.911706621285333,28.780055305468608,0.0,0.16666666666666666,0.8333333333333334,28.780055305468608,0.3333333333333333
C,T3_AWA,automated,2025,2310.455446553496,2234.8199999999997,-75.63544655349642,166.44231692181893,-20.493924645219636,10.911706621285333,28.780055305468608,0.0,0.16666666666666666,0.8333333333333334,28.780055305468608,0.3333333333333333
C,T3_AWA,passive,2023,2404.248855266206,2696.8199999999997,292.5711447337935,-21.911426593021286,-6.979084864397748,27.253200268545612,41.72096501437272,0.0,0.75,1.0,41.72096501437272,0.5833333333333334
C,T3_AWA,passive,2024,2380.072605390868,2288.82,-91.25260539086776,-21.911426593021286,-6.979084864397748,27.253200268545612,41.72096501437272,0.0,0.75,1.0,41.72096501437272,0.5833333333333334
C,T3_AWA,passive,2025,2501.8728191219893,2234.8199999999997,-267.0528191219896,-21.911426593021286,-6.979084864397748,27.253200268545612,41.72096501437272,0.0,0.75,1.0,41.72096501437272,0.5833333333333334
C,T3_OCT,automated,2023,2157.7494101634666,2696.8199999999997,539.0705898365331,227.29131692181895,-25.57165153817337,5.528702373641551,23.69801746286194,0.0,0.16666666666666666,0.5,23.69801746286194,0.2222222222222222
C,T3_OCT,automated,2024,2131.2301925175802,2288.82,157.58980748241993,227.29131692181895,-25.57165153817337,5.528702373641551,23.69801746286194,0.0,0.16666666666666666,0.5,23.69801746286194,0.2222222222222222
C,T3_OCT,automated,2025,2249.606446553496,2234.8199999999997,-14.786446553496262,227.29131692181895,-25.57165153817337,5.528702373641551,23.69801746286194,0.0,0.16666666666666666,0.5,23.69801746286194,0.2222222222222222
C,T3_OCT,passive,2023,2343.3998552662065,2696.8199999999997,353.4201447337932,38.93757340697857,-12.056811757351397,21.8701960209018,36.63892717176603,0.0,0.5,1.0,36.63892717176603,0.5
C,T3_OCT,passive,2024,2319.223605390868,2288.82,-30.40360539086805,38.93757340697857,-12.056811757351397,21.8701960209018,36.63892717176603,0.0,0.5,1.0,36.63892717176603,0.5
C,T3_OCT,passive,2025,2441.023819121989,2234.8199999999997,-206.20381912198945,38.93757340697857,-12.056811757351397,21.8701960209018,36.63892717176603,0.0,0.5,1.0,36.63892717176603,0.5
C,T3_TIB,automated,2023,2261.5794101634665,2696.8199999999997,435.2405898365332,123.461316921819,-16.91074799764087,14.557306929627032,32.3641134637607,0.0,0.16666666666666666,0.8333333333333334,32.3641134637607,0.3333333333333333
C,T3_TIB,automated,2024,2235.06019251758,2288.82,53.75980748242,123.461316921819,-16.91074799764087,14.557306929627032,32.3641134637607,0.0,0.16666666666666666,0.8333333333333334,32.3641134637607,0.3333333333333333
C,T3_TIB,automated,2025,2353.436446553496,2234.8199999999997,-118.61644655349619,123.461316921819,-16.91074799764087,14.557306929627032,32.3641134637607,0.0,0.16666666666666666,0.8333333333333334,32.3641134637607,0.3333333333333333
C,T3_TIB,passive,2023,2447.2298552662064,2696.8199999999997,249.5901447337933,-64.8924265930212,-3.395908216818924,30.89880057688734,45.305023172664846,0.0,0.9166666666666666,1.0,45.305023172664846,0.6388888888888888
C,T3_TIB,passive,2024,2423.0536053908677,2288.82,-134.23360539086752,-64.8924265930212,-3.395908216818924,30.89880057688734,45.305023172664846,0.0,0.9166666666666666,1.0,45.305023172664846,0.6388888888888888
C,T3_TIB,passive,2025,2544.853819121989,2234.8199999999997,-310.0338191219894,-64.8924265930212,-3.395908216818924,30.89880057688734,45.305023172664846,0.0,0.9166666666666666,1.0,45.305023172664846,0.6388888888888888
